"district","year","season","soil_type","top_crops","confidence_scores"
"Luwero","2015","First","Loam","Maize|Beans|Groundnuts|Banana|Cassava|Rice","0.915|0.865|0.805|0.765|0.715|0.675"
"Luwero","2016","First","Loam","Maize|Beans|Groundnuts|Banana|Cassava|Rice","0.918|0.868|0.808|0.768|0.718|0.678"
"Luwero","2017","First","Loam","Maize|Beans|Groundnuts|Banana|Cassava|Rice","0.921|0.871|0.811|0.771|0.721|0.681"
"Luwero","2018","First","Loam","Maize|Beans|Groundnuts|Banana|Cassava|Rice","0.924|0.874|0.814|0.774|0.724|0.684"
"Luwero","2019","First","Loam","Maize|Beans|Groundnuts|Banana|Cassava|Rice","0.927|0.877|0.817|0.777|0.727|0.687"
"Luwero","2020","First","Loam","Maize|Beans|Groundnuts|Banana|Cassava|Rice","0.93|0.88|0.82|0.78|0.73|0.69"
"Luwero","2021","First","Loam","Maize|Beans|Groundnuts|Banana|Cassava|Rice","0.933|0.883|0.823|0.783|0.733|0.693"
"Luwero","2022","First","Loam","Maize|Beans|Groundnuts|Banana|Cassava|Rice","0.936|0.886|0.826|0.786|0.736|0.696"
"Luwero","2023","First","Loam","Maize|Beans|Groundnuts|Banana|Cassava|Rice","0.939|0.889|0.829|0.789|0.739|0.699"
"Luwero","2024","First","Loam","Maize|Beans|Groundnuts|Banana|Cassava|Rice","0.942|0.892|0.832|0.792|0.742|0.702"
"Luwero","2025","First","Loam","Maize|Beans|Groundnuts|Banana|Cassava|Rice","0.945|0.895|0.835|0.795|0.745|0.705"
"Luwero","2015","Second","Loam","Beans|Maize|Cassava|Groundnuts|Sunflower|Tomatoes","0.895|0.845|0.785|0.745|0.705|0.645"
"Luwero","2016","Second","Loam","Beans|Maize|Cassava|Groundnuts|Sunflower|Tomatoes","0.898|0.848|0.788|0.748|0.708|0.648"
"Luwero","2017","Second","Loam","Beans|Maize|Cassava|Groundnuts|Sunflower|Tomatoes","0.901|0.851|0.791|0.751|0.711|0.651"
"Luwero","2018","Second","Loam","Beans|Maize|Cassava|Groundnuts|Sunflower|Tomatoes","0.904|0.854|0.794|0.754|0.714|0.654"
"Luwero","2019","Second","Loam","Beans|Maize|Cassava|Groundnuts|Sunflower|Tomatoes","0.907|0.857|0.797|0.757|0.717|0.657"
"Luwero","2020","Second","Loam","Beans|Maize|Cassava|Groundnuts|Sunflower|Tomatoes","0.91|0.86|0.8|0.76|0.72|0.66"
"Luwero","2021","Second","Loam","Beans|Maize|Cassava|Groundnuts|Sunflower|Tomatoes","0.913|0.863|0.803|0.763|0.723|0.663"
"Luwero","2022","Second","Loam","Beans|Maize|Cassava|Groundnuts|Sunflower|Tomatoes","0.916|0.866|0.806|0.766|0.726|0.666"
"Luwero","2023","Second","Loam","Beans|Maize|Cassava|Groundnuts|Sunflower|Tomatoes","0.919|0.869|0.809|0.769|0.729|0.669"
"Luwero","2024","Second","Loam","Beans|Maize|Cassava|Groundnuts|Sunflower|Tomatoes","0.922|0.872|0.812|0.772|0.732|0.672"
"Luwero","2025","Second","Loam","Beans|Maize|Cassava|Groundnuts|Sunflower|Tomatoes","0.925|0.875|0.815|0.775|0.735|0.675"
"Mukono","2015","First","Clay Loam","Maize|Beans|Banana|Coffee|Groundnuts|Rice","0.905|0.855|0.815|0.765|0.725|0.685"
"Mukono","2016","First","Clay Loam","Maize|Beans|Banana|Coffee|Groundnuts|Rice","0.908|0.858|0.818|0.768|0.728|0.688"
"Mukono","2017","First","Clay Loam","Maize|Beans|Banana|Coffee|Groundnuts|Rice","0.911|0.861|0.821|0.771|0.731|0.691"
"Mukono","2018","First","Clay Loam","Maize|Beans|Banana|Coffee|Groundnuts|Rice","0.914|0.864|0.824|0.774|0.734|0.694"
"Mukono","2019","First","Clay Loam","Maize|Beans|Banana|Coffee|Groundnuts|Rice","0.917|0.867|0.827|0.777|0.737|0.697"
"Mukono","2020","First","Clay Loam","Maize|Beans|Banana|Coffee|Groundnuts|Rice","0.92|0.87|0.83|0.78|0.74|0.7"
"Mukono","2021","First","Clay Loam","Maize|Beans|Banana|Coffee|Groundnuts|Rice","0.923|0.873|0.833|0.783|0.743|0.703"
"Mukono","2022","First","Clay Loam","Maize|Beans|Banana|Coffee|Groundnuts|Rice","0.926|0.876|0.836|0.786|0.746|0.706"
"Mukono","2023","First","Clay Loam","Maize|Beans|Banana|Coffee|Groundnuts|Rice","0.929|0.879|0.839|0.789|0.749|0.709"
"Mukono","2024","First","Clay Loam","Maize|Beans|Banana|Coffee|Groundnuts|Rice","0.932|0.882|0.842|0.792|0.752|0.712"
"Mukono","2025","First","Clay Loam","Maize|Beans|Banana|Coffee|Groundnuts|Rice","0.935|0.885|0.845|0.795|0.755|0.715"
"Mukono","2015","Second","Clay Loam","Beans|Maize|Banana|Coffee|Tomatoes|Onions","0.885|0.835|0.795|0.755|0.705|0.665"
