district,season,soil_type,top_crops,confidence_scores
Luwero,First,Loam,Maize|Beans|Groundnuts|Banana|Cassava|Rice,0.93|0.88|0.82|0.78|0.73|0.69
Luwero,Second,Loam,Beans|Maize|Cassava|Groundnuts|Sunflower|Tomatoes,0.91|0.86|0.8|0.76|0.72|0.66
Mukono,First,Clay Loam,Maize|Beans|Banana|Coffee|Groundnuts|Rice,0.92|0.87|0.83|0.78|0.74|0.7
Mukono,Second,Clay Loam,Beans|Maize|Banana|Coffee|Tomatoes|Onions,0.9|0.85|0.81|0.77|0.72|0.68
Wakiso,First,Loam,Maize|Beans|Banana|Cassava|Tomatoes|Onions,0.9|0.85|0.81|0.77|0.73|0.69
Wakiso,Second,Loam,Beans|Maize|Tomatoes|Onions|Cassava|Groundnuts,0.89|0.84|0.79|0.75|0.72|0.67
Masaka,First,Sandy Loam,Maize|Beans|Banana|Groundnuts|Coffee|Cassava,0.91|0.86|0.82|0.78|0.74|0.7
Masaka,Second,Sandy Loam,Beans|Maize|Cassava|Banana|Groundnuts|Soybeans,0.9|0.85|0.8|0.76|0.72|0.68
Mbarara,First,Loam,Maize|Beans|Banana|Coffee|Groundnuts|Millet,0.9|0.86|0.82|0.78|0.74|0.71
Mbarara,Second,Loam,Beans|Maize|Banana|Millet|Sorghum|Groundnuts,0.89|0.84|0.8|0.76|0.72|0.69
Gulu,First,Sandy Loam,Sesame|Maize|Beans|Groundnuts|Sorghum|Sunflower,0.91|0.86|0.82|0.78|0.75|0.7
Gulu,Second,Sandy Loam,Sorghum|Sesame|Groundnuts|Maize|Beans|Sunflower,0.9|0.85|0.81|0.77|0.73|0.69
Arua,First,Sandy Loam,Cassava|Maize|Beans|Groundnuts|Sesame|Sorghum,0.92|0.87|0.83|0.79|0.75|0.71
Arua,Second,Sandy Loam,Cassava|Sorghum|Sesame|Groundnuts|Maize|Beans,0.91|0.86|0.82|0.78|0.74|0.7
Mbale,First,Clay Loam,Maize|Beans|Irish Potatoes|Banana|Coffee|Rice,0.92|0.88|0.83|0.79|0.75|0.71
Mbale,Second,Clay Loam,Beans|Maize|Irish Potatoes|Banana|Onions|Tomatoes,0.9|0.86|0.81|0.77|0.73|0.69
Soroti,First,Sandy,Sorghum|Millet|Groundnuts|Maize|Sunflower|Cassava,0.93|0.88|0.83|0.79|0.74|0.7
Soroti,Second,Sandy,Sorghum|Millet|Groundnuts|Sunflower|Cassava|Sesame,0.91|0.86|0.81|0.77|0.73|0.69
Jinja,First,Loam,Maize|Beans|Sugarcane|Rice|Cassava|Banana,0.9|0.85|0.81|0.77|0.73|0.69
Jinja,Second,Loam,Beans|Maize|Sugarcane|Cassava|Tomatoes|Onions,0.88|0.83|0.79|0.75|0.71|0.67
Hoima,First,Clay,Cassava|Maize|Beans|Banana|Groundnuts|Rice,0.91|0.86|0.82|0.78|0.74|0.69
Hoima,Second,Clay,Cassava|Beans|Maize|Groundnuts|Banana|Sunflower,0.9|0.85|0.8|0.76|0.72|0.68
Fort Portal,First,Loam,Banana|Beans|Maize|Coffee|Irish Potatoes|Tea,0.92|0.87|0.83|0.79|0.75|0.71
Fort Portal,Second,Loam,Beans|Banana|Maize|Irish Potatoes|Coffee|Cabbage,0.9|0.86|0.81|0.77|0.73|0.69
Kabale,First,Clay Loam,Irish Potatoes|Beans|Sorghum|Peas|Maize|Cabbage,0.94|0.89|0.84|0.8|0.75|0.71
Kabale,Second,Clay Loam,Irish Potatoes|Beans|Peas|Cabbage|Sorghum|Onions,0.92|0.87|0.82|0.78|0.74|0.7
Kasese,First,Sandy,Cassava|Maize|Beans|Cotton|Sorghum|Groundnuts,0.9|0.85|0.81|0.77|0.73|0.68
Kasese,Second,Sandy,Cassava|Sorghum|Cotton|Groundnuts|Millet|Maize,0.89|0.84|0.8|0.76|0.72|0.67
Lira,First,Sandy Loam,Sunflower|Maize|Beans|Groundnuts|Soybeans|Sorghum,0.92|0.87|0.82|0.78|0.74|0.7
Lira,Second,Sandy Loam,Sunflower|Sorghum|Groundnuts|Soybeans|Maize|Beans,0.9|0.85|0.81|0.77|0.73|0.69
Mityana,First,Loam,Maize|Beans|Banana|Coffee|Cassava|Groundnuts,0.91|0.86|0.82|0.78|0.74|0.7
Mityana,Second,Loam,Beans|Maize|Cassava|Banana|Coffee|Tomatoes,0.9|0.85|0.8|0.76|0.72|0.68
